日期,产品,区域,销量,单价,销售额
2023-01-31,笔记本电脑,华南,121,5933,717893
2023-01-31,笔记本电脑,华中,171,665,113715
2023-01-31,笔记本电脑,华北,264,4625,1221000
2023-01-31,手机,华中,409,8521,3485089
2023-01-31,手机,华南,199,968,192632
2023-01-31,手机,华东,393,7148,2809164
2023-01-31,平板,华中,363,6595,2393985
2023-01-31,平板,华北,285,8865,2526525
2023-01-31,平板,华东,108,2757,297756
2023-01-31,耳机,华东,495,2933,1451835
2023-01-31,耳机,华中,495,4857,2404215
2023-01-31,耳机,华北,413,7933,3276329
2023-01-31,键盘,华南,356,9037,3217172
2023-01-31,键盘,华北,70,5592,391440
2023-01-31,键盘,华东,437,8991,3929067
2023-01-31,显示器,华东,314,7712,2421568
2023-01-31,显示器,华北,102,7240,738480
2023-01-31,显示器,华中,389,6434,2502826
2023-02-28,笔记本电脑,华中,480,8425,4044000
2023-02-28,笔记本电脑,华南,255,3351,854505
2023-02-28,笔记本电脑,华东,469,1784,836696
2023-02-28,手机,华东,103,4042,416326
2023-02-28,手机,华北,359,9891,3550869
2023-02-28,手机,华中,240,7072,1697280
2023-02-28,平板,华东,319,7828,2497132
2023-02-28,平板,华北,264,9666,2551824
2023-02-28,平板,华中,239,6638,1586482
2023-02-28,耳机,华北,416,9467,3938272
2023-02-28,耳机,华南,329,5058,1664082
2023-02-28,耳机,华东,237,8770,2078490
2023-02-28,键盘,华南,350,263,92050
2023-02-28,键盘,华北,394,8205,3232770
2023-02-28,键盘,西南,58,5662,328396
2023-02-28,显示器,华南,130,590,76700
2023-02-28,显示器,华中,212,6091,1291292
2023-02-28,显示器,华北,280,6383,1787240
2023-03-31,笔记本电脑,华中,317,3303,1047051
2023-03-31,笔记本电脑,华南,97,2653,257341
2023-03-31,笔记本电脑,华东,111,9195,1020645
2023-03-31,手机,华中,84,5255,441420
2023-03-31,手机,华东,276,8309,2293284
2023-03-31,手机,华南,180,4039,727020
2023-03-31,平板,西南,447,9261,4139667
2023-03-31,平板,华东,332,4687,1556084
2023-03-31,平板,华北,256,5333,1365248
2023-03-31,耳机,西南,112,1062,118944
2023-03-31,耳机,华北,280,7607,2129960
2023-03-31,耳机,华东,101,5315,536815
2023-03-31,键盘,华中,280,7091,1985480
2023-03-31,键盘,华北,192,3441,660672
2023-03-31,键盘,华东,78,1258,98124
2023-03-31,显示器,华南,292,3356,979952
2023-03-31,显示器,华东,333,9988,3326004
2023-03-31,显示器,华北,490,2892,1417080
2023-04-30,笔记本电脑,华东,380,1862,707560
2023-04-30,笔记本电脑,华北,397,5791,2299027
2023-04-30,笔记本电脑,华南,280,7591,2125480
2023-04-30,手机,西南,170,6063,1030710
2023-04-30,手机,华南,308,7725,2379300
2023-04-30,手机,华北,247,5774,1426178
2023-04-30,平板,华中,274,862,236188
2023-04-30,平板,西南,364,1694,616616
2023-04-30,平板,华南,282,3962,1117284
2023-04-30,耳机,华北,101,1490,150490
2023-04-30,耳机,西南,344,7753,2667032
2023-04-30,耳机,华中,162,1835,297270
2023-04-30,键盘,华南,162,4936,799632
2023-04-30,键盘,华北,269,1053,283257
2023-04-30,键盘,华中,273,7591,2072343
2023-04-30,显示器,华中,102,1906,194412
2023-04-30,显示器,西南,267,5990,1599330
2023-04-30,显示器,华南,247,5734,1416298
2023-05-31,笔记本电脑,华东,172,9157,1575004
2023-05-31,笔记本电脑,华南,343,2526,866418
2023-05-31,笔记本电脑,华中,374,3130,1170620
2023-05-31,手机,华北,289,6486,1874454
2023-05-31,手机,华东,146,9538,1392548
2023-05-31,手机,西南,236,2710,639560
2023-05-31,平板,华东,452,9760,4411520
2023-05-31,平板,华南,196,3110,609560
2023-05-31,平板,西南,248,2042,506416
2023-05-31,耳机,西南,409,4935,2018415
2023-05-31,耳机,华南,316,8354,2639864
2023-05-31,耳机,华北,490,6815,3339350
2023-05-31,键盘,华东,347,461,159967
2023-05-31,键盘,华中,301,6486,1952286
2023-05-31,键盘,西南,395,9014,3560530
2023-05-31,显示器,华北,434,5622,2439948
2023-05-31,显示器,华南,303,4747,1438341
2023-05-31,显示器,华中,86,7357,632702
2023-06-30,笔记本电脑,华南,353,2454,866262
2023-06-30,笔记本电脑,西南,180,4698,845640
2023-06-30,笔记本电脑,华北,201,6396,1285596
2023-06-30,手机,华南,469,9836,4613084
2023-06-30,手机,华中,153,8644,1322532
2023-06-30,手机,华北,276,2756,760656
2023-06-30,平板,华南,451,5172,2332572
2023-06-30,平板,西南,387,3068,1187316
2023-06-30,平板,华中,212,1155,244860
2023-06-30,耳机,华北,338,4692,1585896
2023-06-30,耳机,华南,326,5110,1665860
2023-06-30,耳机,华中,453,9918,4492854
2023-06-30,键盘,华中,492,8249,4058508
2023-06-30,键盘,华南,424,1244,527456
2023-06-30,键盘,西南,287,1892,543004
2023-06-30,显示器,华东,332,424,140768
2023-06-30,显示器,西南,326,5092,1659992
2023-06-30,显示器,华南,146,7221,1054266
2023-07-31,笔记本电脑,华北,196,7882,1544872
2023-07-31,笔记本电脑,华南,84,7878,661752
2023-07-31,笔记本电脑,西南,66,7538,497508
2023-07-31,手机,华北,422,1259,531298
2023-07-31,手机,华中,329,3619,1190651
2023-07-31,手机,华东,351,805,282555
2023-07-31,平板,华中,240,1179,282960
2023-07-31,平板,华南,465,6301,2929965
2023-07-31,平板,华东,210,3526,740460
2023-07-31,耳机,华中,272,6908,1878976
2023-07-31,耳机,华东,107,5641,603587
2023-07-31,耳机,华南,409,2932,1199188
2023-07-31,键盘,华东,200,3208,641600
2023-07-31,键盘,华中,176,353,62128
2023-07-31,键盘,华北,435,983,427605
2023-07-31,显示器,西南,225,7405,1666125
2023-07-31,显示器,华南,219,3005,658095
2023-07-31,显示器,华北,75,6185,463875
2023-08-31,笔记本电脑,华北,440,8191,3604040
2023-08-31,笔记本电脑,华中,85,4979,423215
2023-08-31,笔记本电脑,西南,69,2567,177123
2023-08-31,手机,华南,141,6118,862638
2023-08-31,手机,华东,264,1052,277728
2023-08-31,手机,华中,100,3968,396800
2023-08-31,平板,华东,391,4976,1945616
2023-08-31,平板,华北,375,4053,1519875
2023-08-31,平板,西南,103,2690,277070
2023-08-31,耳机,华北,157,203,31871
2023-08-31,耳机,华南,152,5514,838128
2023-08-31,耳机,西南,311,1075,334325
2023-08-31,键盘,华中,360,7278,2620080
2023-08-31,键盘,华东,357,6998,2498286
2023-08-31,键盘,华北,318,4664,1483152
2023-08-31,显示器,华北,194,8510,1650940
2023-08-31,显示器,华东,368,5376,1978368
2023-08-31,显示器,华中,488,9760,4762880
2023-09-30,笔记本电脑,华北,328,1349,442472
2023-09-30,笔记本电脑,西南,442,2130,941460
2023-09-30,笔记本电脑,华东,178,1280,227840
2023-09-30,手机,西南,145,8004,1160580
2023-09-30,手机,华中,167,758,126586
2023-09-30,手机,华北,138,7603,1049214
2023-09-30,平板,华南,241,9861,2376501
2023-09-30,平板,华北,118,7203,849954
2023-09-30,平板,西南,296,8329,2465384
2023-09-30,耳机,华中,135,2943,397305
2023-09-30,耳机,华东,334,9634,3217756
2023-09-30,耳机,华北,118,2340,276120
2023-09-30,键盘,华中,481,6683,3214523
2023-09-30,键盘,华北,88,7620,670560
2023-09-30,键盘,华南,271,4651,1260421
2023-09-30,显示器,华北,149,3048,454152
2023-09-30,显示器,华东,229,7589,1737881
2023-09-30,显示器,西南,443,7104,3147072
2023-10-31,笔记本电脑,华中,374,4810,1798940
2023-10-31,笔记本电脑,西南,65,3038,197470
2023-10-31,笔记本电脑,华东,385,6077,2339645
2023-10-31,手机,西南,201,7032,1413432
2023-10-31,手机,华中,212,2626,556712
2023-10-31,手机,华北,82,4199,344318
2023-10-31,平板,华南,317,8201,2599717
2023-10-31,平板,华东,114,5735,653790
2023-10-31,平板,西南,217,4112,892304
2023-10-31,耳机,华南,61,5925,361425
2023-10-31,耳机,华中,351,9144,3209544
2023-10-31,耳机,华东,84,9166,769944
2023-10-31,键盘,华东,467,8505,3971835
2023-10-31,键盘,华北,154,4173,642642
2023-10-31,键盘,西南,245,1024,250880
2023-10-31,显示器,西南,462,7742,3576804
2023-10-31,显示器,华北,469,927,434763
2023-10-31,显示器,华东,326,7363,2400338
2023-11-30,笔记本电脑,华北,457,2985,1364145
2023-11-30,笔记本电脑,华中,226,1321,298546
2023-11-30,笔记本电脑,华南,85,5272,448120
2023-11-30,手机,华中,273,3639,993447
2023-11-30,手机,华南,232,5843,1355576
2023-11-30,手机,西南,328,3113,1021064
2023-11-30,平板,西南,111,8986,997446
2023-11-30,平板,华北,417,927,386559
2023-11-30,平板,华中,391,4691,1834181
2023-11-30,耳机,西南,445,7599,3381555
2023-11-30,耳机,华南,452,4370,1975240
2023-11-30,耳机,华东,314,2701,848114
2023-11-30,键盘,华东,101,5145,519645
2023-11-30,键盘,华中,416,8534,3550144
2023-11-30,键盘,华北,422,7465,3150230
2023-11-30,显示器,华南,102,1366,139332
2023-11-30,显示器,华中,106,1261,133666
2023-11-30,显示器,华北,158,8059,1273322
2023-12-31,笔记本电脑,华东,272,4928,1340416
2023-12-31,笔记本电脑,西南,182,7529,1370278
2023-12-31,笔记本电脑,华北,264,9123,2408472
2023-12-31,手机,西南,125,7440,930000
2023-12-31,手机,华东,491,2738,1344358
2023-12-31,手机,华南,450,1741,783450
2023-12-31,平板,华北,483,7137,3447171
2023-12-31,平板,华东,171,9608,1642968
2023-12-31,平板,华南,54,6371,344034
2023-12-31,耳机,华东,414,1564,647496
2023-12-31,耳机,西南,194,8901,1726794
2023-12-31,耳机,华北,376,4511,1696136
2023-12-31,键盘,华东,464,2009,932176
2023-12-31,键盘,华北,494,3122,1542268
2023-12-31,键盘,华南,231,4385,1012935
2023-12-31,显示器,西南,175,4467,781725
2023-12-31,显示器,华东,190,5048,959120
2023-12-31,显示器,华北,269,3908,1051252
2024-01-31,笔记本电脑,华中,410,3271,1341110
2024-01-31,笔记本电脑,华北,436,703,306508
2024-01-31,笔记本电脑,华东,240,1730,415200
2024-01-31,手机,华北,166,332,55112
2024-01-31,手机,华南,107,3826,409382
2024-01-31,手机,西南,222,6515,1446330
2024-01-31,平板,西南,423,5547,2346381
2024-01-31,平板,华南,213,9641,2053533
2024-01-31,平板,华东,196,6389,1252244
2024-01-31,耳机,华北,464,3783,1755312
2024-01-31,耳机,西南,422,8252,3482344
2024-01-31,耳机,华南,308,2902,893816
2024-01-31,键盘,华中,321,5262,1689102
2024-01-31,键盘,西南,407,7774,3164018
2024-01-31,键盘,华南,205,4667,956735
2024-01-31,显示器,华东,235,7682,1805270
2024-01-31,显示器,华北,227,738,167526
2024-01-31,显示器,华中,269,5163,1388847
2024-02-29,笔记本电脑,华中,496,7511,3725456
2024-02-29,笔记本电脑,华南,250,6331,1582750
2024-02-29,笔记本电脑,华北,261,2978,777258
2024-02-29,手机,华北,302,5912,1785424
2024-02-29,手机,西南,420,454,190680
2024-02-29,手机,华南,246,2037,501102
2024-02-29,平板,华中,335,7608,2548680
2024-02-29,平板,华北,300,5323,1596900
2024-02-29,平板,西南,168,1214,203952
2024-02-29,耳机,华北,273,7648,2087904
2024-02-29,耳机,西南,112,4124,461888
2024-02-29,耳机,华中,364,7137,2597868
2024-02-29,键盘,华北,154,7465,1149610
2024-02-29,键盘,华南,434,603,261702
2024-02-29,键盘,西南,360,2199,791640
2024-02-29,显示器,西南,308,1659,510972
2024-02-29,显示器,华南,72,7339,528408
2024-02-29,显示器,华东,102,5008,510816
2024-03-31,笔记本电脑,华中,127,6799,863473
2024-03-31,笔记本电脑,西南,415,2247,932505
2024-03-31,笔记本电脑,华东,100,4979,497900
2024-03-31,手机,华北,418,3618,1512324
2024-03-31,手机,华东,144,7438,1071072
2024-03-31,手机,华南,88,448,39424
2024-03-31,平板,华北,428,4562,1952536
2024-03-31,平板,华东,498,1276,635448
2024-03-31,平板,西南,285,8779,2502015
2024-03-31,耳机,华中,304,3573,1086192
2024-03-31,耳机,华南,456,1451,661656
2024-03-31,耳机,西南,390,4872,1900080
2024-03-31,键盘,华东,241,7080,1706280
2024-03-31,键盘,华南,343,9720,3333960
2024-03-31,键盘,西南,147,8216,1207752
2024-03-31,显示器,华东,357,4460,1592220
2024-03-31,显示器,华南,384,5314,2040576
2024-03-31,显示器,西南,79,5053,399187
2024-04-30,笔记本电脑,华中,334,7242,2418828
2024-04-30,笔记本电脑,西南,187,6526,1220362
2024-04-30,笔记本电脑,华东,450,5648,2541600
2024-04-30,手机,华北,311,5768,1793848
2024-04-30,手机,华南,254,6468,1642872
2024-04-30,手机,华中,284,2105,597820
2024-04-30,平板,华中,144,6289,905616
2024-04-30,平板,华南,423,6230,2635290
2024-04-30,平板,西南,57,9290,529530
2024-04-30,耳机,华南,401,3465,1389465
2024-04-30,耳机,华北,204,4387,894948
2024-04-30,耳机,华东,209,6976,1457984
2024-04-30,键盘,华南,141,4976,701616
2024-04-30,键盘,西南,366,6876,2516616
2024-04-30,键盘,华东,454,7180,3259720
2024-04-30,显示器,华北,395,2792,1102840
2024-04-30,显示器,华南,482,7439,3585598
2024-04-30,显示器,西南,331,6389,2114759
2024-05-31,笔记本电脑,华中,399,3077,1227723
2024-05-31,笔记本电脑,西南,97,3843,372771
2024-05-31,笔记本电脑,华北,386,1475,569350
2024-05-31,手机,华南,105,8916,936180
2024-05-31,手机,华东,77,8349,642873
2024-05-31,手机,华中,127,563,71501
2024-05-31,平板,华东,420,5325,2236500
2024-05-31,平板,西南,52,1845,95940
2024-05-31,平板,华北,456,2996,1366176
2024-05-31,耳机,西南,343,7081,2428783
2024-05-31,耳机,华南,420,3285,1379700
2024-05-31,耳机,华东,241,8351,2012591
2024-05-31,键盘,华北,490,1495,732550
2024-05-31,键盘,华东,280,6428,1799840
2024-05-31,键盘,华南,175,4831,845425
2024-05-31,显示器,华北,443,8457,3746451
2024-05-31,显示器,华南,282,9560,2695920
2024-05-31,显示器,西南,160,6570,1051200
2024-06-30,笔记本电脑,西南,132,2671,352572
2024-06-30,笔记本电脑,华中,150,2938,440700
2024-06-30,笔记本电脑,华东,331,1960,648760
2024-06-30,手机,华南,278,9703,2697434
2024-06-30,手机,华东,486,1932,938952
2024-06-30,手机,华中,119,5821,692699
2024-06-30,平板,华东,367,3934,1443778
2024-06-30,平板,华中,360,9551,3438360
2024-06-30,平板,华北,296,8633,2555368
2024-06-30,耳机,华东,371,8858,3286318
2024-06-30,耳机,华南,269,8394,2257986
2024-06-30,耳机,华北,384,9036,3469824
2024-06-30,键盘,华北,111,5759,639249
2024-06-30,键盘,华中,243,1045,253935
2024-06-30,键盘,西南,252,6515,1641780
2024-06-30,显示器,华中,167,9114,1522038
2024-06-30,显示器,华北,274,4407,1207518
2024-06-30,显示器,华南,189,2247,424683
2024-07-31,笔记本电脑,华北,431,4433,1910623
2024-07-31,笔记本电脑,华东,405,7187,2910735
2024-07-31,笔记本电脑,西南,308,3943,1214444
2024-07-31,手机,华北,456,2418,1102608
2024-07-31,手机,华东,435,2259,982665
2024-07-31,手机,华中,217,1818,394506
2024-07-31,平板,华南,322,3023,973406
2024-07-31,平板,西南,448,3689,1652672
2024-07-31,平板,华中,143,9509,1359787
2024-07-31,耳机,西南,285,2107,600495
2024-07-31,耳机,华北,425,3729,1584825
2024-07-31,耳机,华南,186,2834,527124
2024-07-31,键盘,西南,369,6150,2269350
2024-07-31,键盘,华南,398,8206,3265988
2024-07-31,键盘,华东,316,9263,2927108
2024-07-31,显示器,华北,262,3097,811414
2024-07-31,显示器,华东,428,276,118128
2024-07-31,显示器,西南,459,4426,2031534
2024-08-31,笔记本电脑,华北,451,9709,4378759
2024-08-31,笔记本电脑,西南,153,7142,1092726
2024-08-31,笔记本电脑,华南,228,8003,1824684
2024-08-31,手机,华南,202,2391,482982
2024-08-31,手机,华中,274,4232,1159568
2024-08-31,手机,西南,358,3886,1391188
2024-08-31,平板,华东,183,1401,256383
2024-08-31,平板,华南,91,5766,524706
2024-08-31,平板,西南,64,5941,380224
2024-08-31,耳机,华北,460,618,284280
2024-08-31,耳机,西南,206,1319,271714
